local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
exact,Exact,EnumDateOfBirthType,Demographics,date_of_birth_type,exact,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-date-of-birth-method/,Exact,LinkML gen-harmony
year_only,Year Only,EnumDateOfBirthType,Demographics,date_of_birth_type,year-only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-date-of-birth-method/,Year Only,LinkML gen-harmony
shifted,Shifted,EnumDateOfBirthType,Demographics,date_of_birth_type,shifted,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-date-of-birth-method/,Shifted,LinkML gen-harmony
decade_only,Decade Only,EnumDateOfBirthType,Demographics,date_of_birth_type,decade-only,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-date-of-birth-method/,Decade Only,LinkML gen-harmony
other,Other,EnumDateOfBirthType,Demographics,date_of_birth_type,other,https://nih-ncpi.github.io/ncpi-fhir-ig-2/CodeSystem/research-data-date-of-birth-method/,Other,LinkML gen-harmony
female,Female,EnumSex,Demographics,sex,female,http://hl7.org/fhir/administrative-gender/,Female,LinkML gen-harmony
male,Male,EnumSex,Demographics,sex,male,http://hl7.org/fhir/administrative-gender/,Male,LinkML gen-harmony
unknown,Unknown,EnumSex,Demographics,sex,unknown,http://hl7.org/fhir/administrative-gender/,Unknown,LinkML gen-harmony
american_indian_or_alaskan_native,American Indian or Alaskan Native,EnumRace,Demographics,race,1002-5,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
asian,Asian,EnumRace,Demographics,race,2028-9,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
black_or_african_american,Black or African American,EnumRace,Demographics,race,2054-5,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
native_hawaiian_or_pacific_islander,Native Hawaiian or Other Pacific Islander,EnumRace,Demographics,race,2076-8,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
white,White,EnumRace,Demographics,race,2106-3,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
other_race,Other Race,EnumRace,Demographics,race,2131-1,urn:oid:2.16.840.1.113883.6.238/,,LinkML gen-harmony
unknown,unknown,EnumRace,Demographics,race,UNK,http://terminology.hl7.org/CodeSystem/v3-NullFlavor/,,LinkML gen-harmony
asked_but_unknown,asked but unknown,EnumRace,Demographics,race,ASKU,http://terminology.hl7.org/CodeSystem/v3-NullFlavor/,,LinkML gen-harmony
hispanic_or_latino,hispanic_or_latino,EnumEthnicity,Demographics,ethnicity,2135-2,urn:oid:2.16.840.1.113883.6.238/,Hispanic or Latino,LinkML gen-harmony
not_hispanic_or_latino,not_hispanic_or_latino,EnumEthnicity,Demographics,ethnicity,2186-5,urn:oid:2.16.840.1.113883.6.238/,Not Hispanic or Latino,LinkML gen-harmony
unknown,unknown,EnumEthnicity,Demographics,ethnicity,UNK,http://terminology.hl7.org/CodeSystem/v3-NullFlavor/,unknown,LinkML gen-harmony
asked_but_unknown,asked_but_unknown,EnumEthnicity,Demographics,ethnicity,ASKU,http://terminology.hl7.org/CodeSystem/v3-NullFlavor/,asked but unknown,LinkML gen-harmony
