variable_name,description,data_type,min,max,units,enumerations,comment
assertion_id,INCLUDE Global ID for the Assertion,string,,,,,
subject_id,INCLUDE Global ID for the Subject,string,,,,,Foreign Key: Subject.subject_id
encounter_id,Unique identifier for this Encounter.,string,,,,,Foreign Key: Encounter.encounter_id
asserter_type,The original asserter of this information,enumeration,,,,"CAMO:0000016=Assertion made by research staff.;CAMO:0000017=Assertion documented by a healthcare system or provider.;CAMO:0000018=Assertion made by a study participant, their representative, or some combination.;CAMO:0000019=Assertion made by a study participant.;CAMO:0000020=Assertion made by a study participant's representative or representatives.;CAMO:0000021=Assertion made by a study participant's caregiver or caregivers.",
assertion_source_type,The source of this assertion from the original data,enumeration,,,,"CAMO:0000014=Data obtained directly from an Electronic Health Record.;CAMO:0000010=Data obtained from a survey or questionnaire given to a participant or their representative.;CAMO:0000011=Data obtained by research staff for the study.;CAMO:0000012=Data obtained by research staff interviewing participants, representatives, or others.;CAMO:0000013=Data obtained directly by research staff examining the participant.",
age_at_assertion,The age in days of the Subject when the assertion was made.,integer,,,UCUM:d,,
age_at_event,"The age in days of the Subject at the time point which the assertion describes, eg, age of onset or when a measurement was performed.",integer,,,UCUM:d,,
age_at_resolution,The age in days of the Subject when the asserted state was resolved.,integer,,,UCUM:d,,
concept_source,The source text yielding the standardized concept.,string,,,,,
value_number,The numeric value of the assertion.,number,,,,,
value_source,The source text yielding the value.,string,,,,,
value_unit,The structured term defining the units of the value.,string,,,,,Foreign Key: Concept.concept_curie
value_unit_source,The source text yielding the value's units.,string,,,,,
access_policy_id,Global identifier for the access policy that applies to this row of data.,string,,,,,Foreign Key: AccessPolicy.access_policy_id
study_id,INCLUDE Global ID for the study,string,,,,,Foreign Key: Study.study_id
