table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
AccessPolicy,data_use_permission,DUO:0000004,This data use permission indicates there is no restriction on use.,no restriction,DUO:0000004,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUsePermission,EnumDataUsePermission
AccessPolicy,data_use_permission,DUO:0000006,This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.,health or medical or biomedical research,DUO:0000006,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUsePermission,EnumDataUsePermission
AccessPolicy,data_use_permission,DUO:0000007,"This data use permission indicates that use is allowed provided it is related to the specified disease.
This term should be coupled with a term describing a disease from an ontology to specify the disease the restriction applies to. 

DUO recommends MONDO be used, to provide the basis for automated evaluation. For more information see https://github.com/EBISPOT/DUO/blob/master/MONDO_Overview.md

Other resources, such as the Disease Ontology, HPO, SNOMED-CT or others, can also be used. When those other resources are being used, this may require an extra mapping step to leverage automated matching algorithms.",disease specific research,DUO:0000007,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUsePermission,EnumDataUsePermission
AccessPolicy,data_use_permission,DUO:0000011,This data use permission indicates that use of the data is limited to the study of population origins or ancestry.,population origins or ancestry research only,DUO:0000011,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUsePermission,EnumDataUsePermission
AccessPolicy,data_use_permission,DUO:0000042,"This data use permission indicates that use is allowed for general research use for any research purpose.
This includes but is not limited to: health/medical/biomedical purposes, fundamental biology research, the study of population origins or ancestry, statistical methods and algorithms development, and social-sciences research.",general research use,DUO:0000042,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUsePermission,EnumDataUsePermission
AccessPolicy,data_use_modifier,DUO:00000044,"This data use modifier indicates use for purposes of population, origin, or ancestry research is prohibited.",population origins or ancestry research prohibited,DUO:00000044,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000012,This data use modifier indicates that use is limited to studies of a certain research type.,research specific restrictions,DUO:0000012,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000015,"This data use modifier indicates that use does not allow methods development research (e.g., development of software or algorithms).",no general methods research,DUO:0000015,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000016,"This data use modifier indicates that use is limited to genetic studies only (i.e., studies that include genotype research alone or both genotype and phenotype research, but not phenotype research exclusively)",genetic studies only,DUO:0000016,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000018,"This data use modifier indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.","not for profit, non commercial use only",DUO:0000018,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000019,This data use modifier indicates that requestor agrees to make results of studies using the data available to the larger scientific community.,publication required,DUO:0000019,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000020,"This could be coupled with a string describing the primary study investigator(s).
This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).",collaboration required,DUO:0000020,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000021,This data use modifier indicates that the requestor must provide documentation of local IRB/ERB approval.,ethics approval required,DUO:0000021,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000022,"This data use modifier indicates that use is limited to within a specific geographic region.
This should be coupled with an ontology term describing the geographical location the restriction applies to.",geographical restriction,DUO:0000022,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000024,"This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.
This should be coupled with a date specified as ISO8601",publication moratorium,DUO:0000024,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000025,"This data use modifier indicates that use is approved for a specific number of months.
This should be coupled with an integer value indicating the number of months.",time limit on use,DUO:0000025,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000026,This data use modifier indicates that use is limited to use by approved users.,user specific restriction,DUO:0000026,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
AccessPolicy,data_use_modifier,DUO:0000027,This data use modifier indicates that use is limited to use within an approved project.,project specific restriction,DUO:0000027,https://anvilproject.github.io/acr-harmonized-data-model/EnumDataUseModifier,EnumDataUseModifier
